"first_name" "second_name" "last_name" "subject" "mark" "score"
"Олег" "Алексеевич" "Петров" "Информатика" "2" "78"
"Олег" "Алексеевич" "Петров" "Математика" "4" "28"
"Павел" "Алексеевич" "Смирнов" "Русския язык" "2" "78"
"Олег" "Алексеевич" "Смирнов" "Математика" "2" "5"
"Дмитрий" "Алексеевич" "Петров" "Английский язык" "3" "86"
"Олег" "Алексеевич" "Смирнов" "Английский язык" "3" "86"
"Павел" "Алексеевич" "Сидоров" "Английский язык" "5" "34"
"Олег" "Михайлович" "Петров" "Русския язык" "4" "23"
"Олег" "Михайлович" "Петров" "Английский язык" "3" "86"
"Павел" "Петрович" "Петров" "Русския язык" "2" "35"
"Олег" "Алексеевич" "Сидоров" "Русския язык" "2" "41"
"Дмитрий" "Петрович" "Смирнов" "Математика" "5" "69"
"Олег" "Алексеевич" "Смирнов" "Русския язык" "3" "66"
"Павел" "Михайлович" "Сидоров" "Английский язык" "3" "77"
"Олег" "Алексеевич" "Петров" "Русския язык" "2" "31"
"Павел" "Петрович" "Сидоров" "Английский язык" "3" "72"
"Дмитрий" "Михайлович" "Петров" "Английский язык" "4" "69"
"Павел" "Алексеевич" "Сидоров" "Английский язык" "3" "29"
"Олег" "Михайлович" "Сидоров" "Русския язык" "3" "100"
"Дмитрий" "Михайлович" "Смирнов" "Математика" "2" "89"
"Павел" "Михайлович" "Смирнов" "Информатика" "2" "100"
"Дмитрий" "Михайлович" "Сидоров" "Русския язык" "4" "46"
"Дмитрий" "Петрович" "Смирнов" "Английский язык" "3" "68"
"Олег" "Алексеевич" "Сидоров" "Информатика" "2" "2"
"Олег" "Петрович" "Сидоров" "Английский язык" "4" "79"
"Дмитрий" "Михайлович" "Сидоров" "Русския язык" "5" "91"
"Павел" "Алексеевич" "Сидоров" "Математика" "4" "38"
"Павел" "Алексеевич" "Смирнов" "Русския язык" "3" "38"
"Олег" "Алексеевич" "Смирнов" "Математика" "5" "63"
"Олег" "Петрович" "Сидоров" "Английский язык" "4" "80"
"Павел" "Петрович" "Сидоров" "Русския язык" "3" "93"
"Павел" "Михайлович" "Петров" "Информатика" "5" "25"
"Олег" "Петрович" "Смирнов" "Русския язык" "3" "16"
"Павел" "Михайлович" "Смирнов" "Английский язык" "4" "30"
"Дмитрий" "Петрович" "Сидоров" "Информатика" "2" "73"
"Олег" "Алексеевич" "Петров" "Математика" "5" "32"
"Олег" "Алексеевич" "Сидоров" "Информатика" "2" "52"
"Дмитрий" "Михайлович" "Сидоров" "Информатика" "3" "93"
"Дмитрий" "Михайлович" "Петров" "Математика" "5" "23"
"Олег" "Петрович" "Петров" "Английский язык" "5" "40"
"Олег" "Алексеевич" "Петров" "Английский язык" "3" "99"
"Дмитрий" "Петрович" "Сидоров" "Английский язык" "3" "25"
"Павел" "Алексеевич" "Петров" "Русския язык" "5" "51"
"Дмитрий" "Михайлович" "Петров" "Русския язык" "2" "81"
"Дмитрий" "Алексеевич" "Смирнов" "Русския язык" "3" "54"
"Олег" "Алексеевич" "Петров" "Русския язык" "5" "54"
"Олег" "Петрович" "Петров" "Математика" "2" "65"
"Дмитрий" "Петрович" "Петров" "Английский язык" "4" "5"
"Павел" "Михайлович" "Петров" "Русския язык" "2" "23"
"Павел" "Алексеевич" "Сидоров" "Английский язык" "5" "19"
"Дмитрий" "Михайлович" "Петров" "Английский язык" "2" "59"
"Дмитрий" "Михайлович" "Петров" "Английский язык" "2" "52"
"Дмитрий" "Алексеевич" "Петров" "Математика" "3" "57"
"Дмитрий" "Петрович" "Смирнов" "Английский язык" "2" "50"
"Дмитрий" "Алексеевич" "Петров" "Английский язык" "2" "35"
"Олег" "Алексеевич" "Петров" "Математика" "3" "70"
"Павел" "Михайлович" "Сидоров" "Информатика" "5" "17"
"Олег" "Михайлович" "Петров" "Математика" "2" "57"
"Олег" "Алексеевич" "Смирнов" "Математика" "4" "1"
"Дмитрий" "Петрович" "Петров" "Информатика" "5" "78"
"Дмитрий" "Петрович" "Сидоров" "Английский язык" "5" "92"
"Дмитрий" "Петрович" "Сидоров" "Английский язык" "4" "1"
"Олег" "Михайлович" "Сидоров" "Математика" "4" "58"
"Дмитрий" "Михайлович" "Петров" "Информатика" "4" "34"
"Дмитрий" "Алексеевич" "Петров" "Русския язык" "5" "11"
"Дмитрий" "Алексеевич" "Смирнов" "Математика" "4" "80"
"Дмитрий" "Петрович" "Петров" "Математика" "5" "20"
"Олег" "Алексеевич" "Сидоров" "Английский язык" "4" "68"
"Павел" "Михайлович" "Петров" "Информатика" "4" "2"
"Дмитрий" "Алексеевич" "Сидоров" "Информатика" "5" "7"
"Дмитрий" "Михайлович" "Сидоров" "Математика" "2" "88"
"Олег" "Алексеевич" "Петров" "Математика" "5" "96"
"Дмитрий" "Петрович" "Смирнов" "Информатика" "2" "2"
"Дмитрий" "Петрович" "Смирнов" "Русския язык" "5" "72"
"Олег" "Михайлович" "Смирнов" "Математика" "2" "22"
"Дмитрий" "Петрович" "Смирнов" "Русския язык" "4" "34"
"Олег" "Михайлович" "Сидоров" "Информатика" "3" "43"
"Олег" "Петрович" "Сидоров" "Математика" "2" "69"
"Павел" "Петрович" "Сидоров" "Математика" "2" "1"
"Олег" "Михайлович" "Смирнов" "Английский язык" "5" "32"
"Дмитрий" "Алексеевич" "Сидоров" "Информатика" "2" "6"
"Олег" "Алексеевич" "Смирнов" "Информатика" "2" "32"
"Дмитрий" "Алексеевич" "Петров" "Английский язык" "4" "68"
"Дмитрий" "Михайлович" "Петров" "Математика" "4" "46"
"Дмитрий" "Михайлович" "Смирнов" "Русския язык" "3" "54"
"Павел" "Петрович" "Петров" "Математика" "2" "5"
"Дмитрий" "Петрович" "Смирнов" "Русския язык" "5" "88"
"Олег" "Алексеевич" "Петров" "Информатика" "5" "54"
"Дмитрий" "Алексеевич" "Петров" "Английский язык" "3" "20"
"Дмитрий" "Петрович" "Сидоров" "Русския язык" "2" "15"
"Павел" "Петрович" "Смирнов" "Русския язык" "5" "80"
"Дмитрий" "Михайлович" "Петров" "Русския язык" "5" "44"
"Олег" "Михайлович" "Смирнов" "Русския язык" "5" "14"
"Дмитрий" "Алексеевич" "Смирнов" "Английский язык" "4" "16"
"Олег" "Алексеевич" "Петров" "Русския язык" "4" "82"
"Павел" "Михайлович" "Сидоров" "Английский язык" "4" "25"
"Дмитрий" "Михайлович" "Сидоров" "Русския язык" "2" "9"
"Павел" "Алексеевич" "Смирнов" "Математика" "4" "22"
"Олег" "Михайлович" "Смирнов" "Информатика" "4" "51"
"Павел" "Алексеевич" "Петров" "Математика" "2" "54"
